CustomerID,Tenure,SatisfactionScore,Complain,DaySinceLastOrder,WarehouseToHome,CashbackAmount,ChurnRiskScore
54479,1.0,4,1,3.0,12.0,149.78,0.8109499111177457
53009,1.0,4,1,3.0,12.0,149.78,0.8109499111177457
51510,0.0,3,1,1.0,14.0,125.66,0.7709626457329344
50040,0.0,3,1,1.0,14.0,125.66,0.7709626457329344
53752,1.0,4,0,1.0,20.0,145.33,0.7669544584327809
53196,1.0,2,1,3.0,13.0,151.59,0.7621754510134127
52861,1.0,4,1,2.0,24.0,155.58,0.7539240278480651
55222,1.0,4,0,1.0,20.0,145.33,0.7503481693329005
55597,1.0,5,1,3.0,12.0,148.8,0.7485110750951737
54127,1.0,5,1,3.0,12.0,148.8,0.7485110750951737
53361,1.0,3,0,1.0,11.0,148.18,0.7420176053386865
54831,1.0,3,0,1.0,11.0,148.18,0.7402083536707184
54331,1.0,4,1,2.0,24.0,155.58,0.7284783620771925
53580,1.0,5,1,9.0,21.0,147.35,0.7272154003239867
54247,1.0,5,0,1.0,9.0,148.22,0.7166266612875271
54976,1.0,4,1,3.0,7.0,145.7,0.7085154608331987
53165,1.0,2,1,5.0,30.0,152.25,0.6898542160670569
55510,1.0,3,1,1.0,8.0,154.33,0.670742727770818
50546,0.0,3,0,0.0,14.0,123.18,0.6701089293934558
54202,1.0,5,0,1.0,9.0,148.41,0.6699699199666345
52782,0.0,5,1,2.0,14.0,123.80000000000001,0.6663827097412207
51312,0.0,5,1,2.0,14.0,123.80000000000001,0.6663827097412207
53277,1.0,4,0,1.0,16.0,151.94,0.662216837196709
52016,0.0,3,0,0.0,14.0,123.18,0.6599431658764741
54002,1.0,3,0,1.0,21.0,140.14,0.6524327859734093
55472,1.0,3,0,1.0,21.0,140.14,0.6524327859734093
53167,1.0,4,0,1.0,24.0,146.27,0.6514927239883178
52882,1.0,4,0,4.0,16.0,147.79,0.6493590142537536
54648,1.0,4,0,1.0,7.0,153.36,0.6480591517543914
54040,1.0,3,1,1.0,7.0,154.33,0.6477957560898255
54462,1.0,3,0,1.0,17.0,137.0,0.6464880793255392
52483,0.0,3,1,3.0,32.0,128.14,0.6453999438413407
54747,1.0,4,0,1.0,16.0,151.94,0.6447181219323859
53178,1.0,4,0,1.0,7.0,153.36,0.644223013240864
54184,1.0,1,0,1.0,22.0,137.32,0.6421941080634509
53506,1.0,4,1,3.0,7.0,145.7,0.6393672502923909
52173,1.0,3,1,2.0,12.0,127.03,0.6372898081549649
54637,1.0,4,0,1.0,24.0,146.27,0.6369173007179134
54325,1.0,3,1,2.0,10.0,150.66,0.6352255838096492
52855,1.0,3,1,2.0,10.0,150.66,0.6352255838096492
55358,1.0,5,0,3.0,16.0,152.28,0.6319902174694537
53888,1.0,5,0,3.0,16.0,152.28,0.6319902174694537
51664,0.0,4,1,2.0,14.0,124.78,0.6316008126966314
50194,0.0,4,1,2.0,14.0,124.78,0.6316008126966314
50381,0.0,2,1,2.0,12.0,126.59,0.625877329057583
54310,1.0,4,0,1.0,10.0,139.83,0.6243763668908446
52992,1.0,3,0,1.0,17.0,137.0,0.6221762370704754
55478,1.0,1,1,3.0,12.0,148.79,0.619564346340578
54008,1.0,1,1,3.0,12.0,148.79,0.619564346340578
50805,1.0,2,1,2.0,8.0,138.67,0.6134186245898837
52897,1.0,4,1,3.0,12.0,148.28,0.6071107402503515
50462,0.0,4,0,0.0,15.0,126.94,0.6054886815910524
51013,0.0,3,1,3.0,32.0,128.14,0.6007887962135554
51516,0.0,4,1,1.0,23.0,130.58,0.5984992276055668
51432,0.0,5,0,0.0,14.0,123.22,0.594832036150396
53547,1.0,3,0,3.0,10.0,155.33,0.5937623761307759
54215,1.0,1,1,1.0,30.0,166.57,0.5936619939260129
53425,1.0,5,0,2.0,15.0,149.51,0.588588210659245
51932,0.0,4,0,0.0,15.0,126.94,0.5876795072055365
55258,1.0,5,0,1.0,28.0,147.96,0.5854069006408981
53788,1.0,5,0,1.0,28.0,147.96,0.5854069006408981
55625,1.0,3,0,1.0,12.0,154.66,0.5808489426998643
53859,1.0,1,1,4.0,9.0,162.6,0.5790738701534918
54352,1.0,4,0,4.0,16.0,147.79,0.5743999392184906
55050,1.0,5,1,9.0,21.0,147.35,0.5737628245179832
51387,0.0,5,0,0.0,14.0,123.41,0.5691236703376295
53603,1.0,2,1,3.0,11.0,153.75,0.5690970613482607
52199,0.0,5,0,0.0,14.0,125.52000000000001,0.568115002839052
50729,0.0,5,0,0.0,14.0,125.52000000000001,0.568115002839052
55574,1.0,3,1,3.0,9.0,164.77,0.5668039940956723
54104,1.0,3,1,3.0,9.0,164.77,0.5668039940956723
51896,0.0,5,0,2.0,14.0,125.0,0.5658270790333543
50046,0.0,4,1,1.0,23.0,130.58,0.5643285378302926
51298,8.0,3,1,2.0,17.0,126.6,0.5635223707037931
50177,0.0,3,0,0.0,16.0,112.0,0.5627297999978481
53241,1.0,5,0,3.0,16.0,150.0,0.5618888914018991
55073,1.0,1,1,3.0,11.0,153.75,0.5579662667723757
55329,1.0,1,1,4.0,9.0,162.6,0.5542147245804413
53207,1.0,5,0,3.0,11.0,153.19,0.5540938929165039
55399,1.0,4,0,3.0,11.0,157.95,0.5533303458262161
50610,0.0,5,0,1.0,14.0,124.50999999999999,0.551593490541902
53306,1.0,2,0,1.0,10.0,142.06,0.5514894742488271
50788,0.0,2,1,2.0,10.0,128.75,0.5507609340254177
52258,0.0,1,1,2.0,10.0,128.75,0.5469863576136902
53929,1.0,4,0,3.0,11.0,157.95,0.5458485009764852
53663,1.0,2,0,1.0,7.0,141.11,0.5435372074070696
52847,1.0,3,0,1.0,14.0,186.32,0.5410365883993813
52768,8.0,3,1,2.0,17.0,126.6,0.5410142017098064
54155,1.0,3,0,1.0,12.0,154.66,0.5402815592267273
55133,1.0,1,0,1.0,8.0,141.11,0.5398025703702564
52543,0.0,5,0,2.0,15.0,127.28,0.5397135246896252
51073,0.0,5,0,2.0,15.0,127.28,0.5397135246896252
52584,0.0,4,0,2.0,10.0,132.95,0.5364525998939805
52187,0.0,4,0,2.0,30.0,135.97,0.534203186614097
50032,0.0,3,0,0.0,13.0,161.32,0.527282306524442
55014,1.0,5,0,1.0,16.0,150.52,0.5256368396130643
53544,1.0,5,0,1.0,16.0,150.52,0.5256368396130643
50732,0.0,3,0,2.0,9.0,130.33,0.5228341546923887
51842,0.0,3,0,2.0,28.0,134.47,0.5217599276209389
51114,0.0,4,0,2.0,10.0,132.95,0.5216084851271208
50372,0.0,3,0,2.0,28.0,134.47,0.520016263782338
52748,4.0,1,1,0.0,8.0,111.28999999999999,0.5199293957007821
53074,1.0,4,0,3.0,18.0,147.44,0.5190819400040991
55583,9.0,3,1,3.0,18.0,151.6,0.5173255412465316
53524,1.0,3,0,3.0,13.0,150.39,0.5171118087564696
50709,0.0,3,0,2.0,14.0,125.38999999999999,0.5161142262645212
50426,0.0,5,0,2.0,14.0,125.0,0.5151445114745894
50717,0.0,4,0,2.0,30.0,135.97,0.5148458911445811
53869,1.0,3,0,3.0,9.0,152.83,0.5140747743364723
55339,1.0,3,0,3.0,9.0,152.83,0.5140747743364723
54113,9.0,3,1,3.0,18.0,151.6,0.5128203928419333
54435,1.0,3,0,1.0,10.0,157.3,0.5101885482158558
52965,1.0,3,0,1.0,10.0,157.3,0.5101885482158558
54711,1.0,5,0,3.0,16.0,150.0,0.5094922975883237
53418,1.0,2,0,1.0,12.0,135.51,0.5045293273918492
55164,1.0,1,0,3.0,8.0,157.29,0.504342915099762
52275,1.0,1,1,2.0,8.0,138.67,0.5005065796318912
51278,4.0,1,1,0.0,8.0,111.28999999999999,0.49887639058240607
53187,1.0,3,0,3.0,29.0,159.47,0.4984297515893015
53169,1.0,3,0,7.0,20.0,145.96,0.4981796764895043
53532,1.0,4,0,3.0,31.0,160.97,0.49737656418135534
54657,1.0,3,0,3.0,29.0,159.47,0.49332099572099186
52017,9.0,4,0,0.0,16.0,120.08000000000001,0.48956266980160906
50547,9.0,4,0,0.0,16.0,120.08000000000001,0.48956266980160906
54204,1.0,3,0,3.0,15.0,212.26,0.48832653268433374
50292,9.0,2,1,0.0,8.0,117.02000000000001,0.48782626383231115
50593,0.0,4,0,2.0,22.0,128.11,0.4859165514905599
55572,1.0,4,0,3.0,9.0,146.87,0.4849187462914019
54102,1.0,4,0,3.0,9.0,146.87,0.4849187462914019
53256,1.0,3,0,3.0,17.0,160.05,0.48455282633233066
50765,9.0,5,1,8.0,20.0,122.35,0.48281453026512405
54885,1.0,3,0,3.0,24.0,168.77,0.4820402971084375
52080,0.0,5,0,1.0,14.0,124.50999999999999,0.47842553710994734
52695,0.0,3,1,0.0,7.0,129.33,0.4781423546930052
55002,1.0,4,0,3.0,31.0,160.97,0.47645161640167205
54666,1.0,1,1,3.0,13.0,81.0,0.474947801365522
52683,1.0,4,0,0.0,9.0,128.56,0.4742929667206398
51213,1.0,4,0,0.0,9.0,128.56,0.4742929667206398
54270,1.0,1,0,1.0,22.0,153.71,0.47416029616417743
55017,1.0,3,0,3.0,6.0,155.33,0.4740016030024098
51620,0.0,3,0,0.0,9.0,132.3,0.4733467124625224
50150,0.0,3,0,0.0,9.0,132.3,0.4733467124625224
53415,1.0,3,0,3.0,24.0,168.77,0.472268803638057
52728,4.0,5,1,3.0,9.0,130.65,0.47093132535676263
51833,0.0,4,0,0.0,6.0,128.36,0.47047325836989756
53694,1.0,2,0,3.0,7.0,157.29,0.47011964107124404
54895,1.0,5,0,2.0,15.0,149.51,0.4681066749433149
51193,0.0,1,1,2.0,14.0,123.78999999999999,0.46739318583559564
52663,0.0,1,1,2.0,14.0,123.78999999999999,0.46739318583559564
54888,1.0,1,0,1.0,12.0,135.51,0.4661763821816385
54165,1.0,4,0,3.0,9.0,159.68,0.46601368445084623
55584,1.0,3,0,3.0,8.0,158.75,0.46597715082000546
51630,0.0,5,1,3.0,17.0,147.41,0.46300534086457173
53408,1.0,4,0,3.0,23.0,153.11,0.46265904786818246
54639,1.0,3,0,7.0,20.0,145.96,0.46057654988300184
50603,0.0,2,0,0.0,11.0,110.50999999999999,0.4605413522896986
54058,1.0,4,0,3.0,9.0,147.26,0.4594331495462368
52810,0.0,3,0,0.0,11.0,129.66,0.458667034545196
50744,1.0,5,0,3.0,25.0,131.96,0.45849868022468654
50160,0.0,5,1,3.0,17.0,147.41,0.4573666819488477
50363,0.0,4,0,0.0,6.0,128.36,0.45706040154875294
50531,9.0,4,1,3.0,9.0,122.77000000000001,0.45690465219373894
52001,9.0,4,1,3.0,9.0,122.77000000000001,0.45690465219373894
54544,1.0,4,0,3.0,18.0,147.44,0.4559011991777667
53708,1.0,5,0,5.0,18.0,145.99,0.4555398047248777
53716,1.0,3,1,4.0,11.0,166.62,0.4532768180606687
51054,0.0,3,0,2.0,8.0,127.83000000000001,0.45228025546787926
52524,0.0,3,0,2.0,8.0,127.83000000000001,0.45228025546787926
52063,0.0,4,0,2.0,22.0,128.11,0.4522587237472691
